Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
186.963: [GC (Allocation Failure) [PSYoungGen: 239959K->25600K(262144K)] 1433449K->1219089K(2059776K), 0.0047442 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
188.275: [GC (Allocation Failure) [PSYoungGen: 245081K->35840K(262144K)] 1438570K->1244689K(2059776K), 0.0050857 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
190.020: [GC (Allocation Failure) [PSYoungGen: 234843K->5120K(262144K)] 1443692K->1265169K(2059776K), 0.0052415 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
191.348: [GC (Allocation Failure) [PSYoungGen: 183642K->30720K(262144K)] 1443692K->1393169K(2059776K), 0.0108194 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
193.875: [GC (Allocation Failure) [PSYoungGen: 250182K->6176K(262144K)] 1612631K->1368625K(2059776K), 0.0056106 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
195.188: [GC (Allocation Failure) [PSYoungGen: 230766K->21632K(262144K)] 1593216K->1384081K(2059776K), 0.0064889 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
196.938: [GC (Allocation Failure) [PSYoungGen: 246243K->10336K(262144K)] 1608692K->1372785K(2059776K), 0.0061121 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
198.249: [GC (Allocation Failure) [PSYoungGen: 229825K->35872K(262144K)] 1592275K->1398321K(2059776K), 0.0060788 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
199.560: [GC (Allocation Failure) [PSYoungGen: 255360K->35872K(262144K)] 1617810K->1449521K(2059776K), 0.0081887 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
201.095: [GC (Allocation Failure) [PSYoungGen: 260479K->15392K(262144K)] 1674129K->1429041K(2059776K), 0.0051992 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
202.404: [GC (Allocation Failure) [PSYoungGen: 234879K->16480K(262144K)] 1648529K->1430129K(2059776K), 0.0065596 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
203.717: [GC (Allocation Failure) [PSYoungGen: 241072K->17472K(262144K)] 1654722K->1431121K(2059776K), 0.0064175 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
205.692: [GC (Allocation Failure) [PSYoungGen: 160150K->15392K(262144K)] 1573799K->1480241K(2059776K), 0.0071286 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
207.026: [GC (Allocation Failure) [PSYoungGen: 193903K->20512K(262144K)] 1658753K->1526321K(2059776K), 0.0073980 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
208.464: [GC (Allocation Failure) [PSYoungGen: 214376K->20512K(262144K)] 1720185K->1526321K(2059776K), 0.0070197 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
