Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
65.134: [GC (Allocation Failure) [PSYoungGen: 48820K->26624K(69632K)] 761029K->738833K(1013760K), 0.0023587 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.112: [GC (Allocation Failure) [PSYoungGen: 58032K->10240K(69632K)] 770241K->722449K(1013760K), 0.0011358 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.654: [GC (Allocation Failure) [PSYoungGen: 41645K->15360K(69632K)] 753855K->727569K(1013760K), 0.0016463 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.312: [GC (Allocation Failure) [PSYoungGen: 48812K->26624K(69632K)] 914621K->892433K(1013760K), 0.0026955 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.967: [GC (Allocation Failure) [PSYoungGen: 58032K->15360K(69632K)] 923842K->901649K(1013760K), 0.0036735 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
68.293: [GC (Allocation Failure) [PSYoungGen: 36525K->10240K(69632K)] 943295K->917009K(1013760K), 0.0020805 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
68.295: [GC (Allocation Failure) [PSYoungGen: 10240K->10240K(69632K)] 917009K->917009K(1013760K), 0.0015947 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
68.297: [Full GC (Allocation Failure) [PSYoungGen: 10240K->0K(69632K)] [ParOldGen: 906769K->51729K(944128K)] 917009K->51729K(1013760K), [Metaspace: 2796K->2796K(1056768K)], 0.0061451 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
70.281: [GC (Allocation Failure) [PSYoungGen: 30385K->5120K(69632K)] 389315K->364049K(1013760K), 0.0009997 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
70.826: [GC (Allocation Failure) [PSYoungGen: 31411K->10240K(69632K)] 390341K->369169K(1013760K), 0.0009755 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
71.807: [GC (Allocation Failure) [PSYoungGen: 43695K->11264K(69632K)] 576704K->544273K(1013760K), 0.0012261 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
72.357: [GC (Allocation Failure) [PSYoungGen: 42674K->21504K(69632K)] 575683K->554513K(1013760K), 0.0020984 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
73.557: [GC (Allocation Failure) [PSYoungGen: 54959K->1024K(69632K)] 741568K->687633K(1013760K), 0.0010131 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
74.538: [GC (Allocation Failure) [PSYoungGen: 34482K->20480K(69632K)] 895172K->881169K(1013760K), 0.0017399 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
75.084: [GC (Allocation Failure) [PSYoungGen: 46772K->20480K(69632K)] 907462K->881169K(1013760K), 0.0020550 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
75.519: [Full GC (Ergonomics) [PSYoungGen: 41647K->0K(69632K)] [ParOldGen: 932369K->77329K(944128K)] 974017K->77329K(1013760K), [Metaspace: 2796K->2796K(1056768K)], 0.0078180 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
76.512: [GC (Allocation Failure) [PSYoungGen: 33458K->10240K(69632K)] 213188K->189969K(1013760K), 0.0009363 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.603: [GC (Allocation Failure) [PSYoungGen: 41652K->10240K(69632K)] 241862K->210449K(1013760K), 0.0010082 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.039: [GC (Allocation Failure) [PSYoungGen: 36533K->15360K(69632K)] 236743K->215569K(1013760K), 0.0014620 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.696: [GC (Allocation Failure) [PSYoungGen: 48816K->6144K(69632K)] 402625K->359953K(1013760K), 0.0010806 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
79.349: [GC (Allocation Failure) [PSYoungGen: 37555K->15360K(69632K)] 391364K->369169K(1013760K), 0.0014039 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
80.332: [GC (Allocation Failure) [PSYoungGen: 48815K->15360K(69632K)] 576705K->543249K(1013760K), 0.0014245 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
81.864: [GC (Allocation Failure) [PSYoungGen: 48818K->6144K(69632K)] 679108K->636433K(1013760K), 0.0013983 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
